tau,coef,se,ci_lo,ci_hi
-5,-0.007620180479862026,1.2589007165903614,-2.4750655849969703,2.4598252240372465
-4,-0.07084487523726424,1.268376785922557,-2.556863375645476,2.4151736251709477
-3,-0.09587456301504046,1.2821146720623375,-2.608819320257222,2.417070194227141
-2,-0.12623995538809563,1.2777551280675872,-2.6306400064005664,2.378160095624375
-1,0.0,0.0,0.0,0.0
0,-0.07390021488103338,1.2004567692444532,-2.426795482600162,2.278995052838095
1,0.011483192901364764,1.2605014926092144,-2.4590997326126955,2.482066118415425
2,0.06809822127498188,1.395325397962595,-2.666739558731704,2.802936001281668
3,0.3783129789869497,1.3490215619678303,-2.2657692824699973,3.022395240443897
4,0.22125850831892274,1.3970264345729153,-2.5169133034439914,2.959430320081837
5,0.37724861665084297,1.485886891891605,-2.5350896914567027,3.289586924758389
6,0.152873381757341,1.5572625582591322,-2.899361232430558,3.20510799594524
7,0.15480094803697447,1.5596022208706724,-2.9020194048695434,3.2116213009434924
8,-0.4489719005767736,1.0594940906848016,-2.525580318318985,1.6276365171654377
9,-0.452647168943052,1.0586820020204613,-2.5276638929031563,1.622369555017052
10,-0.44908197061283217,1.0595380663608973,-2.5257765806801906,1.6276126394545265
